0350,2025-01-25,409,11,3,0,93.3
10351,2025-04-20,408,19,4,0,4559.76
10352,2025-09-23,43,4,3,0.15,1013.88
10353,2025-10-21,204,18,4,0.05,3446.79
10354,2025-11-14,330,1,3,0,203.82
10355,2025-06-17,290,1,3,0,203.82
10356,2025-09-05,307,12,5,0,3254.95
10357,2025-09-29,258,3,3,0.1,702.81
10358,2025-07-19,374,5,4,0.15,3112.33
10359,2025-04-16,26,13,5,0.15,5099.53
10360,2025-05-28,326,6,1,0.1,413.93
10361,2025-02-16,482,4,5,0.05,1888.6
10362,2025-01-19,442,9,4,0,1234.84
10363,2025-09-20,379,16,5,0,4696.15
10364,2025-12-02,262,18,1,0.1,816.35
10365,2025-02-15,258,7,1,0,904.4
10366,2025-08-24,492,4,5,0.05,1888.6
10367,2025-10-11,309,5,2,0,1830.78
10368,2025-02-11,108,8,2,0.05,1899.33
10369,2025-09-13,200,16,2,0.05,1784.54
10370,2025-09-23,2,7,3,0.1,2441.88
10371,2025-03-31,64,14,4,0,1700.6
10372,2025-02-17,491,9,2,0.05,586.55
10373,2025-09-12,406,6,4,0,1839.68
10374,2025-06-11,74,7,4,0,3617.6
10375,2025-05-11,359,16,2,0,1878.46
10376,2025-03-19,347,10,1,0.15,89.79
10377,2025-01-18,130,6,4,0.15,1563.73
10378,2025-05-14,123,16,1,0.05,892.27
10379,2025-08-22,333,17,1,0.15,667.16
10380,2025-05-28,363,20,2,0.05,466.72
10381,2025-10-18,26,11,2,0.05,59.09
10382,2025-10-22,116,1,3,0.05,193.63
10383,2025-09-09,353,18,4,0.15,3083.97
10384,2025-04-25,410,20,4,0.05,933.43
10385,2025-09-08,344,6,2,0.1,827.86
10386,2025-08-21,300,12,2,0,1301.98
10387,2025-08-05,267,4,1,0,397.6
10388,2025-02-13,299,5,2,0.05,1739.24
10389,2025-12-04,54,4,1,0,397.6
10390,2025-01-26,336,7,1,0,904.4
10391,2025-04-07,244,11,3,0,93.3
10392,2025-07-27,92,9,5,0.05,1466.37
10393,2025-05-28,489,17,1,0,784.89
10394,2025-03-06,109,5,2,0,1830.78
10395,2025-01-18,439,6,5,0.1,2069.64
10396,2025-09-26,403,8,3,0.1,2699.05
